,comments
0,"Huge showroom exhibit furnishing ideas for home planning. Love the scandi-themed, marble-ish and light wood furniture here!

Staffs are attentive and knowledgeable of the products. Gives good recommendations on how to coordinate and match …"
1,"This place is amazing, staff are friendly and knowledgeable. Very patient and obliging. Got a sofa and coffee table here. The material used in their furniture is in my opinion, durable and chic design. Highly recommend!"
2,"The Castlery furniture was beautiful, the sofas have a modern look as well as comfort factor.
Prices are competitive and the showroom staff is ever ready for any queries. Will highly recommend it and the showroom is worth a visit."
3,"Was really able to mix and match and get my choice of furniture at their showroom. Their staff is very accommodating. Nikki took the time to listen to our needs and gave us expert opinions to help make a decision. Always come back here thanks to their designs of clean lines and neutral palettes, all in an affordable budget"
4,"Modern and stylish local brand that showcases high quality furniture. Was impressed with their minimalistic and clean designs, as well as their coloring palette. Would recommend if you’re getting some furniture! The staff that I interacted …"
5,"Ivy assisted us with our purchase of a sofa, ottoman and a TV console - she was super helpful in the process and answered all of our queries patiently and promptly! Great service and would highly recommend shopping at Castlery."
6,Very luxury furniture shop with very friendly and helpful people especially Din that assisted us to get what we need.  Highly recommended place to get high quality furnitures with good price.. 👍🏽👍🏽👍🏽
7,"this is a nice and cozy place. staff are not pushy in selling the furniture, and readily answers all questions you have on the product. will recommend to anyone who wants to have chic design furniture."
8,Sylvia has been phenomenal in helping me getting my dream furniture. Thank you so much!! So happy with the purchase experience.
9,"Kester, assisted us and he is very helpful and friendly. The whole experience with Castlery was great! I like the ambience, the staff and of course their products. Recommended!"
10,A great range of quality products. The Castlery showroom provides a calm and quiet space to browse a range of home furnishing. Came in to buy a couch and found that this was an easy task which was a welcome surprise as we thought it might …
11,"The staff was very friendly and helpful! They took time to listen and give advice. We bought a sofa, tv console, dining table and would love to buy more furniture from here next time!"
12,Great furniture styles for urban living. Great selection of items for our taste. Strongly recommend a visit 👍🏼
13,"Fantastic experience and service! Sam was very attentive and able to answer our queries with no issues, great job!"
14,"Very family friendly place with friendly staff, Sylvia! Furniture range is wide and overall good experience! Budget friendly too"
15,Love this store with its beautiful furniture. The staff are also very friendly and helpful. We are looking forward to our new home with castlery items!
16,Bought a sofa here. The shopping experience was lovely. Good range of furniture options available that are both comfortable and lovely looking. The staff here are really helpful and knows their stuff well and able to answer my queries. Will be returning to get more items when they are for sale again.
17,"Excellent service given by Jacob throughout our visit. Overall, their poducts are very well design and of good quality. Prices are very reasonable price too. Highly recommended."
18,"Visited Castlery showroom at Jit Poh last week and then visited again this week. Why? Its a pleasant environment they have created here. You can spend time browsing, sit and try some elegant pieces of modern and classic furniture and dream on.."
19,Had a good experience! The staff was friendly and helpful. We was being guide to pick the right items for our home.
20,staff is friendly and knowledgeable. furniture design is good and location easily accessible by public transport. highly recommend!
21,"A wide array of furnishings that is modern and homely. Ivy was great in assisting queries and prompt on services.

Definitely a must-visit for new home owners looking for worthy buys."
22,The best place to buy furniture in Singapore. Amazing quality at reasonable prices.
23,Was served by Sylvia. She was very knowledgeable and friendly. She answered all our questions politely. Very family friendly place.
24,We like Castlery for its design but our recent experience will make us stop using it. We ordered two side tables two weeks ago which unfortunately were delivered with clear quality issues. One piece had obviously been dropped and another …
25,Good place for furniture shopping. A lot of variety and customer service is good. Bought a bed frame and sofa. Thanks Castlery.
26,Really enjoyed to spend time in Castlery showroom. Their staff very helpful when we are searching a sofa for my aunt. Varies of types displayed and we tried one by one. Product quality is good and my aunt very happy with her new sofa!
27,They have a wide variety of furniture and their staff are very helpful and kind. Their furniture is affordable and has a very good quality. Bought a sofa that feels very comfortable.
28,"As first time homeowners, their service really made the process of looking for and buying furniture stress free and easy :) We really appreciate the friendly and professional staff (specifically Din and Ivy), who helped us with our …"
29,"They have a great range of furnitures that are modern and stylish, with a reasonable and affordable price tag! Nikki was really helpful in providing us the information we need for the furnitures. Will definitely recommend this company to others!"
30,"The customer service from Nikki is great. She’s very approachable and patient with our queries.

The showroom has a great ambience and great design layouts for customer’s reference.

Overall, it’s a wonderful experience at Castlery."
31,My wife and I researched on sofa and chance upon the Tana collection from Castlery. We went down to the shop and try the sofa. We feel relax and easy browsing the store and trying every sofa available and comparing the various options. …
