,comments
0,Good customer service which is rare to find in SG.
1,Good quality products and excellent customer service by Chris! We will definitely come back again! :)
2,Very good customer service.. Good products
3,"I visited Scanteak at Suntec City on Saturday, 12 Oct 29 and Sunday, 13 Oct 19 to look for sofa and was happy to be served by Raye on both days.  A very pleasant and helpful young lady knowing her products very well has manage to explain …"
4,Great experience of browsing through different options for stools. Served by Chris who is friendly and helpful.
5,Mr Chris was very helpful and knowledgeable.
6,Great product sharing and service from Chris.
7,Nice range of products. Was served by Xifei who helped explain the differences in the various sofa during everyday use. Very patient and approachable. Made our purchase much easier and enjoyable.
8,"Went for window shopping in the end bought our ideal bed. We want to commentate Chris for his excellent service. He was very patient and provided us with the best explanation and service. Whats more, he helped us save money, reducing our overall cost. 👍"
9,We were served by Chris who were very helpful. 10.10 sale and we bought a nice tv console. Slightly more expensive but high quality furniture that will last.
10,"Bought a few items from this 1010 sale. Good quality furniture at lower prices. Served by Joanna who is very pleasant, helpful and attentive. Thanks for an overall good experience at this suntec store. 👍"
11,"Outstanding customer service by staff Chris Phua, excellent quality products, superb value for money with the promotions, and unbeatable customer experience. Highly recommended!"
12,Ordered a very special design working station with a very great discount. Raye provided very good advice and service. 👍🏻
13,Shopped at Scanteak Suntec this weekend. Xi Fei was extremely helpful and sincere in helping us find the perfect furniture for our new house. Thanks!!
14,"Raye who attended to me has very good product knowledge and recommended products that met my needs. Very friendly, meticulous & professional!"
15,Bed price is good and reasonable while service is attentive. A good place to shop.
16,"A lot of nice and beautiful furniture design that we like.
Staff was friendly and helpful in recommends us furniture based on our needs and preference."
17,Raye provided excellent service. Excited with our new purchase
18,"Excellent, solid wood furniture at a decent price. We were served by Chris who was really patient and helpful with assisting us with our enquiries."
19,Great promotional price from now till 13 Oct 2019. Good buy if you are looking for new furniture for your new house.
20,Great service and hospitality. Staff Xifei gave us an excellent introduction to the furniture available.
21,"Very good customer service, Chris is very knowledgable and provided us with many useful insights on the various types of furniture."
22,Showroom has a wide range of products to choose from including beds and mattresses. Definitely worth a visit when a promotion.
23,"I’m planning an overhaul reno & passed by this shop. Xifei was really helpful with enquiries & ideas despite busy with others, always checking back to & fro but leaving spaces in-between for my thoughts & comfort."
24,Just bought a sofa set and mattress from Raye. She was very detailed and patient in giving recommendations.
25,Good service and sales personnel (Xi Fei) very friendly and helpful.
26,Very friendly and patient staff. Solid teak wood. Got a free treat of coffee and pie today at their promotion event. Looking forward to having their furniture in my house.
27,"Decent quality items delivered on the day as agreed. Staff was helpful enough and as they were having a great discount, I wasn’t disappointed."
28,We were served by Chris whom was very helpful in giving us his advice on the possible furnitures we can purchase for our future home. Do look for him if you wish to buy furnitures from Scanteak.
29,Chris is very patient and helpful. Beautiful stall and nice staff.
30,"I was serve by Raye. Very happy with her service n she made some very good recommendation after knowing my needs n interest.
JParry Sim."
31,Good choice of dining tables.  Very helpful service by Xi Fei who gave us good recommendations.
32,Friendly service. Good value
33,Xi Fei was an excellent sales. Good job.
34,"Staff are very attentive, explained the functionality of furnitures that suits our needs"
35,Thanks for Joanna helping me to buy all the furniture for me.
36,Positive and genuine salesperson. Recommended.
37,Nice place for solid wood shopping! The staff is friendly.
38,Joanna is responsive & helpful..Had a great experience
39,Clarice and Chris are friendly and helpful. Thanks.
40,Good and attentive sales person -  Raye
41,"Bought and paid full items (16 Sept) as they promise to deliver by 28 Sept. They came in at night time with all items broken while still inside packaging. Wth! Today is Oct 4 still undelivered!
Very bad costumer service! They promise again …"
42,Thanks for the great service raye!
43,Nice showroom and Raye service was excellent!
44,"Quality furniture, great promo for 1010!"
45,Excellent service by xifei.
46,Good service and shopping location
47,Great service and selection of furniture
48,Good service by Raye.
49,Good service from Chris.
50,"Walked in shop at 8:37pm on a thursday night and was greeted with ""excuse me, as we are closing shortly at 9pm, pls tell me how can i help you?!"
51,Great service at the outlet!
52,Great service by Raye!
53,Good experience and service.
54,Pleasant service by Rae
55,Good service from Raye
56,Good service
57,Good
58,Nice teak furniture with a polite and helpful staff
59,Clean and neat showroom. Thumbs up
60,You'll have an fantasTEAK experience here.
61,"Scanteak Fishing stool broke in June 2020 after 1 week of usage. I fell when the stool gave way suddenly. They sent replacement and did not ask how serious was my fall.

Replacement broke this week. I fell again because the stool gave way …"
62,Good customer service
63,"Nice setup, helpful staff. Good value during the year-end sale. Thanks for helping us Lillian!"
64,"I was served by Grace. She is truly sincere, friendly and very patient. I love this outlet and will recommend my friends and relatives to her."
65,my wife found her teak furniture when we were at Henderson outlet. The price was reasonable and within our budget. My wife was real happy.
66,"Was my first time to Henderson Scanteak, products were well displayed and good. Was assisted by Chris who was very helpful and even helped us with our furniture decisions."
67,Very friendly service. Good quality products. Personnel very helpful.
