,comments
0,"(Translated by Google) 3 Penguins 4 Space's 3 Lovers 4QQ

(Original)
3企鹅啊4空间的3爱人4QQ"
1,"(Translated by Google) Alson’s service is good. Very patiently introduce your sofas one by one until my mother is satisfied. Alson answered every question of my mother with a smile, making my mother feel comfortable shopping here.

(Original)
Alson的服务很好。很有耐心的一一介绍你们的沙发，直到我妈妈满意为止。Alson 带着笑容回答我妈妈的每一个问题，让我妈妈觉得在这里购物很舒服。"
2,"(Translated by Google) Not recommended! Some things seem to be cheap at the price, but it ’s really a matter of a year to buy it back, and the quality is not as good as IKEA. For repeat customers and the like, whoever buys and regrets it, …"
3,"(Translated by Google) The furniture is very durable. . Good

(Original)
家具很耐用。。good"
4,"(Translated by Google) The price is clear, and the waiter has a good attitude, making it a good shopping choice.

(Original)
价格明确，服务员态度良好，是不错的購物选择。"
5,"A good selection of furnishing with different styles and variety to suit different styles.

Was served by Jasmine Lau who was patient and professional and knowledgeable in her product knowledge. She was very helpful and gave also her …"
6,"A great place to look for furnitures such as chairs, dining tables, sofas, lamps etc. Furthermore, a shuttle bus service is provided, serving commuters to-and-fro the place itself from Yew Tee MRT station"
7,"Accompany friend to check out some furniture.  Some items' designs are not bad; some items' pricing are quite reasonable.  Has a lift internally, handicap friendly. Toilet a available but don't expect a 4* standard."
8,"After purchasing online furNiture and ceiling lights with a fraction of the price delivered to doorstep or self collect at designated spot, these furniture and lighting with brick and mortar shops will be a dying trade in years or if not months ahead."
9,Alot of furniture
10,Am very happy with the service.
11,"amazing customer service, very friendly and helpful towards all customers and information is well informed."
12,"Andrew from star living was very friendly and thoughtful giving us constructive ideas in our selection of pieces. He was very patient and helpful, answering all our queries knowledgeably. Thank you Andrew!"
13,"Andrew, the sales executive attended to us on the 26th June was very helpful, courteous and gave us very honest advices according to our situation when doing comparison across our shortlisted items.
Thank u so much! It was a pleasant experience."
14,"Appreciate TC Tan patience to serve me. He demonstrate great service to customer as I recommend him to other.

Great job to him"
15,Bad experience with the quality and service rendered
16,Basic furniture - better than IKEA . Affordable prices. Nothing fancy here.
17,Beautiful range if furniture
