,Body,Year,Positive,Neutral,Negative,Compound
0,"i am looking for a teak wood wardrobe... so far saw one at scanteak and i'm wondering if there are any (preferably better) alternatives? checked many teak wood seller websites and they don't sell wardrobes... most of them sell tv consoles, dining tables or bed frames. any suggestion or alternative would be greatly appreciated. thanks!",2016,0.122,0.878,0.0,0.7943
1,can try widharja. did you check out tan boon liat building? a couple of furniture shops there.,2016,0.0,1.0,0.0,0.0
2,if you are adventurours... quite a few singaporeans go to jb to buy furniture.. they delivered and the quality is solid teak..,2015,0.074,0.926,0.0,0.1531
3,ts asking about office chair and u recommend solid teak ah..,2015,0.339,0.661,0.0,0.4767
4,for solid teak furniture go to www.hewn.sg v solid,2016,0.348,0.652,0.0,0.296
5,where in jb? recommendation pls thx,2016,0.487,0.513,0.0,0.4215
6,"ohmm is really expensive... easily 5-10k or more... unicane is about 3-5k but imho decent quality too this is the list of unicane past projects... (not affiliated just sharing what helped make my decision) taj palace, cape town, south africa taj palace hotel, new delhi, india vivanta by taj, coral reef, maldives taj exotica, maldives residency inn, chennai, india ritz carlton st.thomas, us virgin islands ritz carlton, aspen raffles hotel, singapore myrtle beach resort, miami, usa the romanos resort, costa novarino, greece brigade sheraton, bangalore, india vivanta by taj- surya, coimbatore, india hilton garden inn, trivandrum, india vivanta by taj- surya, trivandrum, india hyatt place, pune j w marriott, sahar, mumbai grand hyatt goa, goa, india ananta resort and spa, pushkar, india vivanta by taj, bekal, kerala if its good enough for raffles hotel... good enough for me",2016,0.116,0.884,0.0,0.9534
7,"no furniture will last forever outdoors. for budget offerings, try ikea otherwise the teak company and many others have some options: https://teakandmahogany.com/?sid=v5k...ejmalgls14lln7 https://www.google.com.sg/search?biw....0.jdxtvfa1sti",2018,0.0,0.896,0.104,-0.3736
8,i bought all my solid teak furniture from boo furniture in jb. very reasonable price for full teak and customise furniture. good customer service although sometime need to chase them but overall very satisfied with their product. believe the solid teak furniture can last at least 15years easily sent from huawei bla-l29 using gagt,2019,0.205,0.795,0.0,0.8857
9,can you provide the contact of jb teak furniture supplier? thanks.,2019,0.225,0.775,0.0,0.4404
10,look up boo furniture on facebook or google sent from huawei bla-l29 using gagt,2019,0.0,1.0,0.0,0.0
11,"recently bought more furniture from hewn.sg again they have expanded their range since 2-3 years back side tables, dining table, console, etc like their marble and solid wood (teak) designs - solid quality, and made in sg too",2019,0.144,0.856,0.0,0.5719
12,been to jcbespoke and boo furniture. for teak furniture. customizable options. the price seems a little lower for the former.,2019,0.0,0.904,0.096,-0.228
13,their marble is natural or man-made(compressed powder) marble?,2019,0.263,0.737,0.0,0.3612
14,"before you order from overseas, maybe make a trip over to kovan and take a look. there is this place opposite the mall, i'm not sure is like some church or former school compound? they sell hand-made teak furniture. there is a very huge sign saying ""please don't mind our tattoos"" ... i don't know, maybe 1 of those places providing work for former convicts? but do visit them 1st if you're into teak furniture, support local hmm?",2016,0.096,0.865,0.039,0.6705
15,"[quote=americanhippo;102706908]hey guys, i'm keen to order some custom made teak wood furniture from indonesia problem is their minimum shipping is 20ft container costing close to 2k sgd or more per shipment. anybody wants to share? i am looking for just one other party ... i think you can send them your design and they can make anything for you.. in teak. pm me. prices of course higher than taobao.",2016,0.101,0.862,0.037,0.5719
16,hey! could you share with me the source of your teak furniture? i like to know it. i am also keen in teak furniture.,2016,0.283,0.717,0.0,0.7574
17,tis one i noe last time i used to pass by everyday... but duno they got to custom thou..,2016,0.0,1.0,0.0,0.0
18,is it helping hand ?,2016,0.73,0.27,0.0,0.6597
19,buy locally? singapore produces teak furniture? no thanks.,2016,0.284,0.524,0.192,0.264
20,would want to help but i'm buying all custom made tho btw i'm just buying loose furniture. all those built in furniture i'm making in singapore.,2016,0.104,0.794,0.102,-0.2382
21,"hope this is not too late. do consider unicane at sungei kadut. you have to go all the way to sungei kadut, but it is quite cheap and can bargain. as for other stores, i think ohmm and teak and mahogany are nice, but not cheap.",2015,0.157,0.843,0.0,0.7814
22,"okays will check them out! i see these recommendations not bad for outdoor furniture.. like http://homefactor.com.sg/ , ohmm and teak and mahogany. ohmm didn't put their price though.. outdoor furniture all like not cheap. guess i'll have to go down to sungei kadut to take a look and compare prices! thanks for recommending cat whisperer!",2015,0.239,0.761,0.0,0.929
23,"hi forumers, may i ask which stores you would recommend for teak wood furniture? i'm referring to a list here, please let me know which of these furniture shops are good in your opinion. i'm looking to get a teak dining set (mid-sized 6 to 8 seater). my friends recently purchased a bench from journey east, has anyone else bought stuff from them? what's your feedback? thanks!",2013,0.206,0.794,0.0,0.9264
24,"have you tried john erdos? they have some nice teak furniture, a few of them are on sale from time to time - http://www.johnerdos.com.sg/clearance.php?1",2013,0.131,0.869,0.0,0.4871
25,check out hewn at hewn.sg - got some nice looking recycled teak furniture.,2016,0.203,0.797,0.0,0.4215
26,i found this seller selling indonesia teak furniture in singapore. they sell the furntiure in their own website as well as in shopee. the person in charge is friendly and the price is very attractive. the reviews in shopee website is mostly 5 star. teakwoodasia.com,2021,0.175,0.825,0.0,0.8173
27,"golden teak at tan boon liat? have a wide range of stuff, can also customise for you. have an item on order from them, can update on quality when i get it first week april",2021,0.0,1.0,0.0,0.0
28,hi all. any expert can advise which material would make better and more worthy to purchase assuming all similar pricing. 1) rosewood 2) oak 3) walnut 4) teak sent from xiaomi mi max 2 using gagt,2018,0.156,0.844,0.0,0.7264
29,"teak, personal preference",2018,0.0,1.0,0.0,0.0
30,any advise why? sent from xiaomi mi max 2 using gagt,2018,0.0,1.0,0.0,0.0
31,teak for its anti termite properties. not sure why the furniture is of similar pricing though. rosewood (raw material) is significantly more expensive than teak and teak is more expensive than the rest.,2018,0.0,0.879,0.121,-0.5043
32,"just an illustration so that we can focus on the actual material strength and weaknesses, not the pricing. sent from xiaomi mi max 2 using gagt",2018,0.111,0.801,0.087,0.1779
33,"if you buying from local shops you can guess which variation they are selling. the honest ones will tell you the truth too. a lot of our teak is indonesian. cos burmese teak is very expensive now. burmese teak are from very old trees. stronger, darker in colour. walnut is very confusing cos there are many versions and imposters. 1. american black walnut (juglans nigra) - the best you can get, grows in north america. 2. south american walnut (albizia saman) - totally different species but looks similar at first glance cos it also has sapwood. grows in south america 3. suar, raintree, monkeypod - same as 2. but exported by the spanish to s.e asia. the weather is different here so the wood grows differently. less dense, softer and more unstable than the south american ones. i didn't read up much on rosewood and oak when buying my furniture. some honest people i know are at tan boon liat where i bought a lot of my stuff. grey and sanders for american black walnut, and unikhome for teak. grey and sanders are nice and friendly and they love wood. so you can go chit chat with them and build your knowledge. unikhome was upfront and honest telling me they use indonesian teak. tan boon liat is really fun to browse, can spend a whole day there. there was one shop selling colonial style rosewood furniture (over $500 per dining chair!)",2018,0.148,0.832,0.02,0.9867
34,wow you are very knowledgeable! thanks for your great insights! isit normal that the price of indo teak furniture is easily double of cheaper wood like rubber wood furniture?,2018,0.408,0.592,0.0,0.9482
35,"yah i think so. teak is far superior to rubberwood. teak used to be what ships were made of. rubberwood grows fast, is pretty plentiful in s.e asia and very easy to work with, that's why a lot of furniture uses it here now. another low cost popular wood here is nyatoh. nowadays though, the popular low cost options would be to buy laminated plywood furniture. laminates have come a long way, with really nice designs. i just haven't seen any that have duplicated the chatoyancy of real wood. anyway, from the wood database - teak rot resistance: teak has been considered by many to be the gold standard for decay resistance, and its heartwood is rated as very durable. teak is also resistant to termites, though it is only moderately resistant to marine borers and powder post beetles. rubberwood rot resistance: rubberwood is perishable, and has very little natural resistance to decay. it is also susceptible to fungal staining and insect attacks.",2018,0.117,0.802,0.081,0.8111
36,of course teak. it has anti fungal and anti termites properties. last a lifetime and when dye looks beautiful. teak also have mild pleasant scent that is unique from other wood.,2018,0.19,0.688,0.122,0.5574
37,"be careful when u buy oak wood... there are 2 kind, oak from malaysia or oak from america. oak from malaysia is also known as rubberwood. http://namufurniture.com.sg/2016/08/...malaysian-oak/ anyway, i bought my teak bedframe from boo furniture in jb... check them out. jcbspoken is also known for their teak furniture.",2018,0.102,0.898,0.0,0.6124
38,how is boo furniture's quality? they are selling indo teak right? is their wood and workmanship of good quality? sent from xiaomi mi max 2 using gagt,2018,0.121,0.879,0.0,0.533
39,"the display set in those showroom are quite impressive. u have to see it urself to judge. overall, i'm happy with their services. i have yet to recevied my order. google it.. there are alot of review on them.",2018,0.172,0.828,0.0,0.807
40,"i did modifications on my solid teak wood desk, the hardwood is really hard. used a jigsaw, powered sander, teak stain, and many other tools.",2021,0.066,0.864,0.07,-0.024
41,"think jigsaw would really rape the edge surfaces = need to sand gaolat, rather you handsaw with ryoba for cleaner cut.. (ryoba got cross and rip blades) small parts where the brace of the saw won't get in the way, backsaw or those hacksaw for metal also works for hardwood... more precise or finer cut for joinery then dozuki suizan makes decent saws with replaceable blades for the $",2021,0.023,0.879,0.097,-0.7501
42,why not get from wihardja or pagoda teak? both of them can do custom. pagoda teak currently having moving promo 20% for stock item... you not worry if the item come already not same like what you request or low quality item if order from them and shipped over? or maybe damage etc?,2016,0.041,0.826,0.134,-0.6751
43,scanteak furniture good ? those scanteak look alike from taobao also not cheap leh,2016,0.195,0.805,0.0,0.4404
44,i m look at it too... if my budget allows i will buy these... but not sure anyone got buy not thou...,2016,0.0,0.88,0.12,-0.3491
45,scanteak is good but its not cheap.,2016,0.245,0.755,0.0,0.2382
46,"i saw scanteak bed frames like not bad, but their cupboards really cmi..",2016,0.269,0.731,0.0,0.397
47,eh i dun like scanteak sell dun sell in a bundle. everything individual. ask for a dining set with 4 chairs and 1 bench table 1.6m cost 2477. can die.,2016,0.085,0.782,0.133,-0.34
48,their tv consoles pretty neat too.,2016,0.608,0.392,0.0,0.7351
49,"hi all, i'm thinking of getting those big solid suar or teak tree wood dining table example: (i'm not advertising for this below company) https://suarwood.sg/solid-wood-dining-table-singapore/ any recommendation for direct factory that i can go see and select?",2018,0.044,0.956,0.0,0.1531
50,"have heard from various wood experts not to get suar. suar is a fast growing indonesian tree. the problem is because it grows fast, the core is relatively young and not dried out. coupled with the fact that indonesian kilns are also relatively new, less skilled and impatient. what happens is you get a wood table that is still drying out and changing shape. over time it will crack. what some factories try to do to counter this is to make table tops out of really thick suar. the better but more expensive alternative is american black walnut. these are old trees that have dried out for a long time and usually kiln dried in experienced kilns. they let them dry and crack already so the ones you have will be very stable. teak is also a great option but will not give you that sapwood look with the outer edges being lighter colour than the inner core. i got my table from grey and sanders. they are very friendly and you can chit chat with them to ask more about wood. they are at tan boon liat building, so i suggest you put aside a whole day and walk every floor of the building. there are a whole lot of other furtniture shops there, many of them specializing in solid wood, especially teak. can go and ask all of them about their opinion on suar.",2018,0.091,0.895,0.014,0.9581
51,"if you see wood dust below the furniture pieces in the shops, do yourself a favour and get out of there. it's a sign of wood beetle infestation meaning the wood has not been treated and dried properly.",2018,0.077,0.923,0.0,0.4404
52,"suar wood is actually american walnut. origin is from south america. indo also has suar. the thing is that when a customer places an order, he has to ensure its from south america, not from indo.",2018,0.071,0.929,0.0,0.3818
53,"oh hong liang. we spent more time with the nice lady at aik leong. will check out hong liang. today we spent some time at this place called wihardja, selling mainly teak furniture. anybody bought from them? their pieces seems interesting and cheaper compared to scanteak, but quality probably not as good.",2016,0.067,0.877,0.056,-0.0923
54,"hey guys, i'm keen to order some custom made teak wood furniture from indonesia problem is their minimum shipping is 20ft container costing close to 2k sgd or more per shipment. anybody wants to share? i am looking for just one other party ... i think you can send them your design and they can make anything for you.. in teak. pm me. prices of course higher than taobao.",2016,0.101,0.862,0.037,0.5719
55,buy locally. i know someone who buys wood from indonesia and custom make the furniture in singapore. prices are pretty good . pm me for contact if keen .,2016,0.272,0.728,0.0,0.8225
56,thot they can consol the shipment for you with other shipper?,2016,0.0,1.0,0.0,0.0
57,scanteak???,2017,0.0,1.0,0.0,0.0
58,"just go tan boon liat building. from level 13 to 3. full of furniture shops. good quality.  hommage (japanese furniture )  pomelo ( european or rather modern design. muuto designs)  mountain teak else go millenia walk. ( level 2)  grafunkt ( european modern design)  conde house ( japanese wood) or scandi design ( both at pasir pangjang, 2-4 buildings apart)  kuhl home  danish design",2017,0.048,0.952,0.0,0.4404
