,Body,Year,Positive,Neutral,Negative,Compound
0,"Oh, if you are thinking how good Scanteak appears, you might also want to give them a miss. I've been fooled by them for years (although I've never bought anything as their prices to too inflated - I didn't realize how much until the run-up to CNY this year). I love the run-up to CNY as I am a recycler type of woodworker. I love people throwing away old hardwood furniture which I break down and repurpose. This year I came across a teak bedframe with nice long wood rails down each side. Clearly marked with the Scanteak logo into the wood at one end of each rail. After bringing them back to the house I started to removed the inner slat rails and low and behold, those bed rails are NOT solid wood at all but a very heavy dense type of particleboard (not quite MDF but close) that has real teak veneer on ALL sides/edges and end grain, covering all traces of the false centres. The stuff is garbage. Buyer beware.",2021,0.12477777777777778,0.8514444444444444,0.02377777777777778,0.2113
1,"Courts stuff is terrible in my opinion. have a look but i got a few mid-range pieces from there that looked decent on the showroom, but turned out to be of low quality. it's the great singapore sale right now. you can find deals at nicer places.

try 'v.Hive' at Plaza Singapura which is 1 step up from Ikea, more modern style compared to Courts, or maybe even ScanTeak if they are having a sale (though their stuff typically runs 2 steps up from Ikea's best line).",2015,0.16720000000000002,0.743,0.0898,0.16672
2,"Another place to take a look around is Scanteak. Again, this is not a top quality furniture store (I would not recommend to buy anything there for the outdoor), neither the cheapest one but it offers some better balance to the Ikea's offer.

We decided to have our own furniture ca 5y ago and it took us a few good months to roughly complete the task. We are also a price cautious (low-end expats) but we simply wanted to have something that we like and this something should also last a bit longer.

With this conditions it is rather difficult to buy all the stuff in a single place so we just checked around in a number of places and picked up what we wanted. If this matters we prefer rather simplistic, zen-like style.

The major concentrations of furniture shops are (at least 5y ago):
- the Furniture mall (off the Beach Rd)
- the Sungei Kadut district - probably over dozens of shops all together half of them along Sungei Kadut Ave
- Dempsey area shops (already gone)

We were disappointed with the Furniture Mall. It was very expensive for anything we liked over there.

All together this is roughly the list of the places we bought some furniture from:
1) http://unicane.com (abaca sofa and chairs)
2) Scanteak (few minor tower chests of drawers, all teakish, each piece below $100 and most of them looking like they were made by a drunk carpenter)
3) a lot of stuff from Ikea (Beno CD racks, expedit shelves)
4) Furniture Mall (rather expensive, some custom made teak furniture in a place I could not recommend because we almost sued them for the job done and they almost sued me for alleged defamation).
5) Dempsey area, Holland Village, Furniture Mall (minor furniture, side tables etc.)",2014,0.077,0.892,0.0311,0.07891999999999999
3,"Check with scantech:
http://www.scanteak.com.sg/

This set:


was for ~$S680.
You can buy 2 chairs and a smaller table what should fit into your budget.",2011,0.086,0.9139999999999999,0.0,0.1806
4,"Wooden top and metal frame sounds like not really a common combination. For all wooden table you should really have no problems to google something out.
First in a raw:
http://www.scanteak.com.sg/Catalogue%3EOutdoor%3Etables",2010,0.10766666666666667,0.7883333333333333,0.104,-0.05123333333333332
5,For mid-upper range furniture you can do Scanteak or Pickett & Rail.,2010,0.0,1.0,0.0,0.0
6,Scanteak is more teak style while I am thinking more of modern minimalistic and/or leather furnishing?,2010,0.0,1.0,0.0,0.0
7,"Actually, Scanteak is Scandanavian design but using teak instead of birch or oak as they normally do. Leather furnishings? Novena usually carries a reasonable selection of Italian leather furnishings.",2010,0.0,1.0,0.0,0.0
8,"try the ScanTeak, i think that's the name of the store",2009,0.0,1.0,0.0,0.0
9,Haha completely forgot that there was this thread. I'm still using my sitoca desk but always looking out for a new desk. I got to scanteak for a quote on a piece of pinewood 180cm x75cm at $700. Thought I could maybe get the top there and legs from the galant. But damn solid wood is expensive.,2013,0.1268,0.8082,0.065,0.07758
10,"Funan not selling the Sitoca series that i want.... Shoot them an email if they are able to customise for me and pricing... But doubt they will entertain me as they are doing for coporate business, and may not do for end-users like me... But, hoping for a reply frm them..",2013,0.13724999999999998,0.7989999999999999,0.06375,0.09992499999999999
11,"I think both places services quite bad. Maybe its just our country la, tbh. thats why go their warehouse showroom. then see what they clearing and they can check the stocks also. I think Scanteak one is here 60 Sungei Kadut Dr, 729569 Picket & Rail 25 Tagore Lane S787602",2016,0.0,0.9138,0.0862,-0.11698
12,"The worst was at HN when I was trying out beds, the guy asked where our house was and very quickly moved on to the most ridiculously priced beds. I then quickly left the shop.",2016,0.0,0.8965000000000001,0.1035,-0.3889
13,Hello! Im about to receive my card soon! I am going to get some scanteak furniture from isetan scotts. Is it under departmental store to get 10x? Thanks alot!,2017,0.1522,0.8478,0.0,0.09852
14,"Hi takesflight, We have recently reviewed this merchant and will be adding Isetan to the list of eligible merchants to receive the 10X OCBC$. Do drop us a PM if you need us to check on your transaction. ^DG",2017,0.0,0.9503333333333334,0.049666666666666665,-0.09106666666666667
15,"is solid wood furniture. like Scanteak, namu wood furniture, Wihardja Furniture, picket and rail worth it?",2021,0.32699999999999996,0.673,0.0,0.3399
16,"Personally i think furniture like console with cabinet, desks and dining table should go for solid wood. Others like window side or pedestal cabinets can go for compressed wood if you intend to replace in future.",2021,0.1745,0.8255,0.0,0.41895000000000004
17,"May I suggest to those going to Ikea for their wardrobes : - keep the width to 60cm - esp if you are buying the budget ones with thin shelves - avoid the flimsy MDF shelves, these will flex easily Ready made ones from Scanteak or other companies using real wood aren't a lot more if you want cheap and good. Better custom made ones use thick plywood or solid wood ($$$). The other option is from Ximula or Alumix. They can take pretty heavy weights and the budget version is quite affordable.",2020,0.174,0.8170000000000001,0.009,0.4421
18,"just to add: dont place Ikea wardrobes under the aircon unit. last time, my aircon leaked and water dripped onto wardrobe. the wood bloated... changed to rosewood furniture, water proof",2020,0.0,0.932,0.06799999999999999,-0.10606666666666666
19,"are ikea quality so bad? Looking to get one of their customized wardrobe (PAX - https://www.ikea.com/sg/en/p/pax-war...ite-s69180598/ ) and the wood they used: Materials Wardrobe frame Particleboard, Fibreboard, Particle- and fibreboard with honeycomb paper filling (100% recycled paper), Paper foil, Laminate, Melamine foil, Plastic edging, Plastic edging are those decent enough or got other better ones out there?",2020,0.028,0.7075,0.2645,-0.11459999999999998
20,"since you already have TK, can try the one sold by Scanteak, it's even cheaper. Don't know why, i feel it's too soft so din't take that. Maybe it's psychological. Emailed Scanteak and they say their foam is also made from Dunlop process. It's 3in latex top vs 4in latex top from TK.",2018,0.062,0.938,0.0,0.07636
21,Scanteak furniture good ? Those scanteak look alike from taobao also not cheap leh,2016,0.296,0.704,0.0,0.2202
22,i m look at it too... if my budget allows i will buy these... but not sure anyone got buy not thou...,2016,0.0,0.88,0.12,-0.3491
23,scanteak is good but its not cheap.,2016,0.245,0.755,0.0,0.2382
24,"I saw Scanteak bed frames like not bad, but their cupboards really cmi..",2016,0.269,0.731,0.0,0.397
25,Eh i dun like scanteak sell dun sell in a bundle. Everything individual. Ask for a dining set with 4 chairs and 1 bench table 1.6m cost 2477. Can die.,2016,0.0595,0.7415,0.199,-0.059550000000000006
26,their tv consoles pretty neat too.,2016,0.608,0.392,0.0,0.7351
27,Scanteak???,2017,0.0,0.5,0.0,0.0
28,Second hand is a good option Otherwise ikea and scanteak sell affordable solid wood frames,2021,0.412,0.588,0.0,0.7717
