,comments,Positive,Neutral,Negative,Compound
0,Good customer service which is rare to find in SG.,0.217,0.783,0.0,0.3612
1,Good quality products and excellent customer service by Chris! We will definitely come back again! :),0.6183333333333333,0.38166666666666665,0.0,0.5578666666666666
2,Very good customer service.. Good products,0.57,0.43,0.0,0.6478
3,"I visited Scanteak at Suntec City on Saturday, 12 Oct 29 and Sunday, 13 Oct 19 to look for sofa and was happy to be served by Raye on both days.  A very pleasant and helpful young lady knowing her products very well has manage to explain …",0.2715,0.7284999999999999,0.0,0.70705
4,Great experience of browsing through different options for stools. Served by Chris who is friendly and helpful.,0.4195,0.5805,0.0,0.6716500000000001
5,Mr Chris was very helpful and knowledgeable.,0.34,0.66,0.0,0.4754
6,Great product sharing and service from Chris.,0.58,0.42,0.0,0.7845
7,Nice range of products. Was served by Xifei who helped explain the differences in the various sofa during everyday use. Very patient and approachable. Made our purchase much easier and enjoyable.,0.254,0.746,0.0,0.27807499999999996
8,"Went for window shopping in the end bought our ideal bed. We want to commentate Chris for his excellent service. He was very patient and provided us with the best explanation and service. Whats more, he helped us save money, reducing our overall cost. 👍",0.2344,0.5656,0.0,0.45398
9,We were served by Chris who were very helpful. 10.10 sale and we bought a nice tv console. Slightly more expensive but high quality furniture that will last.,0.18833333333333332,0.8116666666666666,0.0,0.29896666666666666
10,"Bought a few items from this 1010 sale. Good quality furniture at lower prices. Served by Joanna who is very pleasant, helpful and attentive. Thanks for an overall good experience at this suntec store. 👍",0.229,0.5204,0.0506,0.30134
11,"Outstanding customer service by staff Chris Phua, excellent quality products, superb value for money with the promotions, and unbeatable customer experience. Highly recommended!",0.58,0.42000000000000004,0.0,0.6357999999999999
12,Ordered a very special design working station with a very great discount. Raye provided very good advice and service. 👍🏻,0.266,0.734,0.0,0.4106666666666666
13,Shopped at Scanteak Suntec this weekend. Xi Fei was extremely helpful and sincere in helping us find the perfect furniture for our new house. Thanks!!,0.36525,0.38475000000000004,0.0,0.347925
14,"Raye who attended to me has very good product knowledge and recommended products that met my needs. Very friendly, meticulous & professional!",0.396,0.604,0.0,0.57005
15,Bed price is good and reasonable while service is attentive. A good place to shop.,0.336,0.664,0.0,0.3612
16,"A lot of nice and beautiful furniture design that we like.
Staff was friendly and helpful in recommends us furniture based on our needs and preference.",0.4825,0.5175,0.0,0.8163
17,Raye provided excellent service. Excited with our new purchase,0.4635,0.5365,0.0,0.45594999999999997
18,"Excellent, solid wood furniture at a decent price. We were served by Chris who was really patient and helpful with assisting us with our enquiries.",0.338,0.6619999999999999,0.0,0.55945
19,Great promotional price from now till 13 Oct 2019. Good buy if you are looking for new furniture for your new house.,0.2555,0.7444999999999999,0.0,0.49305
20,Great service and hospitality. Staff Xifei gave us an excellent introduction to the furniture available.,0.4235,0.5765,0.0,0.5984
21,"Very good customer service, Chris is very knowledgable and provided us with many useful insights on the various types of furniture.",0.231,0.769,0.0,0.6901
22,Showroom has a wide range of products to choose from including beds and mattresses. Definitely worth a visit when a promotion.,0.3025,0.6975,0.0,0.2787
