,Body,Year,Positive,Neutral,Negative,Compound
0,star living,2021,0.0,1.0,0.0,0.0
1,"I got my bed, dining table and chairs from star living. Quite affordable. Most importantly you both agree on a theme then work from there easier if not then the ikea package not so bad idea too.",2020,0.12566666666666668,0.8743333333333333,0.0,0.29596666666666666
2,"well, check out star living- decent pricing- should be around 1k - 1.5k.. or buy ikea ones and change it to leather",2020,0.095,0.905,0.0,0.2732
3,star living,2020,0.0,1.0,0.0,0.0
4,You can try star living,2020,0.0,1.0,0.0,0.0
5,"My parents got excellent wedding gifts. All these are almost 40 years old:
 
 
 
 1) Takahi slowcooker. It only has three settings - Off, High, Auto.
 
 
 
 2) Zojirushi boiler with only Boil and Warm settings. I'm not certain how healthy it is to use such an old boiler but we're not dead yet so... 
 
 
 
 3) Le creuset pot that looks good as new. We baby it though. 
 
 
 
 Various Scanteak furniture that are 20+ years old. Still solid despite our v rough treatment (e.g. water stains, scratches). 
 
 
 
 Surprisingly, a STAR Living junior wardrobe made of shitty material has lasted us almost 30 years. It's refusal to break down = uncle still using a kiddy pastel blue wardrobe. We stack 10kg luggages on the thing all the time and it's still perfectly fine? I hate it so much.",2020,0.11538461538461538,0.8207692307692308,0.0636923076923077,0.1211
6,"fans can try malaysia, buy alr ask contractor install. 
 
 
 
 furniture are mostly taobao+ikea
 
 
 
 sofa star living is fine. just get soemthign you like ? 
 
 
 
 electronics we went with those under hdb electrical stores. tend to be cheaper than best denki/courts and stuffs",2019,0.18259999999999998,0.8174,0.0,0.24008000000000002
7,"for furniture we got all under one roof at star living (beds,sofa,dining table). As for major electronics we got it from gain city ang mo kio main branch coz it has all the connections needed. (TV,Kitchen stove, air vent,oven and 3 aircons)",2019,0.04633333333333334,0.9536666666666667,0.0,0.17556666666666665
8,Comfort furniture and star living (the Tampines star living is the biggest one),2018,0.172,0.828,0.0,0.3612
9,"If you live near the Buona Vista area, thereâ€™s this shop that sells lots of cool and nice decorations at Star Vista. Itâ€™s called home&amp;living (not sure abt this one) and is a few shops down the J-Mart",2018,0.172,0.8280000000000001,0.0,0.47155
