,Body,Year,Positive,Neutral,Negative,Compound
0,"We got a nice dining table from Castlery. A bit pricy, but quality materials. I know they have other furniture like sofas too.",2021,0.19366666666666668,0.8063333333333333,0.0,0.2609
1,"Depends on what you consider decent
 
 
 
 If you want solid wood base probably need 3-4k and up. 
 
 
 
 Can look at King living for something cheaper in the 1k+ range
 
 
 
 Those cheap taobao couch at places like castlery can cost 500-1k but durability and comfort is super low. 
 
 
 
 You can probably get some cheaper sofas from the big furniture stores but personally they look ugly and old fashioned, comfort isn't great either. But really depends on personal taste",2020,0.13125,0.7847500000000001,0.084,0.07139999999999998
2,"castlery, crate&amp;barrels",2020,0.0,1.0,0.0,0.0
3,I use a kitchen table purchased from castlery. Got it on sale. Its around 160cm Long so perfect for a large desk and very sturdy.,2020,0.10033333333333333,0.8996666666666666,0.0,0.2316
4,"You could try:
 
 
 
 1. Carousell - sort of like Ebay. Lotsa second hand IKEA or even vintage items, lightly used and very cheaply. I even got my dining set free from another Singaporean who was migrating. 
 
 
 
 2. Hock Siong - physical shop with limited one-off pieces. Check out their IG here: https://instagram.com/hocksiong
 
 
 
 3. Second Charm - also a physical shop with one-off second hand vintage pieces: https://instagram.com/second.charm
 
 
 
 4. Castlery and Hipvan - Lotsa Singaporeans get their furniture there. They are fairly well designed and affordable. Sorta like IKEA. 
 
 
 
 5. Noden - second hand well curated Scandinavian furniture and sideboards. However, they are not cheap save for one or two smaller items. Got a set of nesting tables from them years ago and they are still going strong, beautifully.",2020,0.17966666666666667,0.7932666666666667,0.027066666666666666,0.22718
5,"Castlery, ikea?
 
 
 
 Can try one of these too, and get a frame elsewhere https://blog.moneysmart.sg/shopping/cheap-mattress-online/",2019,0.0,1.0,0.0,0.0
6,"Ethnicraft bed frame is pretty good, Crate and Barrel is quite good value relative to what's available, especially on discount. Kuhl Home/Conde House is also nice but expensive. 
 
 
 
 Technically everything is imported, we don't have much woodworking industry here but I do understand what you mean. Pretty much all the usual furniture places like castlery, star furniture, etc are cheap and crappy",2019,0.22275,0.737,0.04025,0.348075
7,"Crate and barrel are well priced locally compared to most if not all the recommended local hipster shops like castlery and it's ilk basically reselling cheap crap. 
 
 
 
 I scoured 10-20 shops for a decent couch before finally getting one from C&amp;B. The other options I considered were Conde house and Juul home which were like 2-4x the price.",2019,0.09599999999999999,0.86,0.044000000000000004,0.15533333333333335
8,"For couch, look at the Kuhl Home Juul range. Most comfy couch I tried but it would have been about 8-9k with the options I wanted. Crate and barrel can be comfy too if you get the right models. I also liked the full grain leather Ikea couch which was 4-5k but the construction was really shitty, what a waste. 
 
 
 
 Of course I assume you care about aesthetics too... Otherwise you could probably find a comfy and ugly couch from somewhere like idk Harvey Norman or king living 
 
 
 
 Just don't bother with the hipster places like castlery. You can't have it look nice and be comfortable for like $1000",2019,0.15457142857142858,0.7762857142857142,0.06914285714285714,0.11174285714285716
9,Might want to check out the bags from Castlery. Bought one and loved it!,2019,0.326,0.6739999999999999,0.0,0.35660000000000003
10,"Recently moved here! Whatâ€™s a good place to get a bed/mattress and sofaâ€™s? Already checked our Ikea, furniture mall (too expensive), castlery (liked stuff there), tan boon liat (again too expensive). What else did I miss?",2019,0.07325,0.83975,0.087,0.071825
11,"Got most of my stuff from Commune, Castlery, Hipvan, Etch and Bolts, Born in Colour and Scanteak! If you like marble, can consider Martlewood amd Greyhammer too. The Tan Boon Liat building also has many furniture stores",2018,0.07233333333333333,0.9276666666666666,0.0,0.12040000000000001
