,Body,Year,Positive,Neutral,Negative,Compound
0,"I am looking for a teak wood wardrobe... so far saw one at scanteak and I'm wondering if there are any (preferably better) alternatives? Checked many teak wood seller websites and they don't sell wardrobes... most of them sell tv consoles, dining tables or bed frames. Any suggestion or alternative would be greatly appreciated. Thanks!",2016,0.33475,0.66525,0.0,0.262225
1,Can try Widharja. Did you check out Tan Boon Liat building? A couple of furniture shops there.,2016,0.0,1.0,0.0,0.0
2,if you are adventurours... quite a few singaporeans go to JB to buy furniture.. they delivered and the quality is SOLID TEAK..,2015,0.104,0.896,0.0,0.3254
3,TS asking about office chair and u recommend solid teak ah..,2015,0.339,0.661,0.0,0.4767
4,for solid teak furniture go to www.hewn.sg v solid,2016,0.348,0.652,0.0,0.296
5,Where in jb? Recommendation pls thx,2016,0.396,0.604,0.0,0.21075
6,"ohmm is really expensive... easily 5-10k or more... unicane is about 3-5k but imho decent quality too This is the list of Unicane past projects... (not affiliated just sharing what helped make my decision) Taj Palace, Cape Town, South Africa Taj Palace Hotel, New Delhi, India Vivanta by Taj, Coral Reef, Maldives Taj Exotica, Maldives Residency Inn, Chennai, India Ritz Carlton St.Thomas, US virgin Islands Ritz Carlton, Aspen Raffles Hotel, Singapore Myrtle Beach Resort, Miami, USA The Romanos Resort, Costa Novarino, Greece Brigade Sheraton, Bangalore, India Vivanta by Taj- Surya, Coimbatore, India Hilton Garden Inn, Trivandrum, India Vivanta by Taj- Surya, Trivandrum, India Hyatt Place, Pune J W Marriott, Sahar, Mumbai Grand Hyatt Goa, Goa, India Ananta Resort and Spa, Pushkar, India Vivanta by Taj, Bekal, Kerala if its good enough for raffles hotel... good enough for me",2016,0.116,0.884,0.0,0.9534
7,"No furniture will last forever outdoors. For budget offerings, try Ikea Otherwise the Teak Company and many others have some options: https://teakandmahogany.com/?SID=v5k...ejmalgls14lln7 https://www.google.com.sg/search?biw....0.jdXtvFA1StI",2018,0.0,0.847,0.153,-0.148
8,I bought all my solid teak furniture from boo furniture in JB. Very reasonable price for full teak and customise furniture. Good customer service although sometime need to chase them but overall very satisfied with their product. Believe the solid teak furniture can last at least 15years easily Sent from HUAWEI BLA-L29 using GAGT,2019,0.163,0.837,0.0,0.3345
9,can you provide the contact of jb teak furniture supplier? Thanks.,2019,0.5,0.5,0.0,0.2202
10,Look up boo furniture on Facebook or google Sent from HUAWEI BLA-L29 using GAGT,2019,0.0,1.0,0.0,0.0
11,"recently bought more furniture from hewn.sg again they have expanded their range since 2-3 years back side tables, dining table, console, etc like their marble and solid wood (teak) designs - solid quality, and made in Sg too",2019,0.144,0.856,0.0,0.5719
12,Been to jcbespoke and boo furniture. For Teak furniture. Customizable options. The price seems a little lower for the former.,2019,0.0,0.9465,0.0535,-0.057
13,Their marble is natural or man-made(compressed powder) marble?,2019,0.263,0.737,0.0,0.3612
14,"Before you order from overseas, maybe make a trip over to Kovan and take a look. There is this place opposite the mall, I'm not sure is like some church or former school compound? They sell hand-made teak furniture. There is a very huge sign saying ""Please don't mind our tattoos"" ... I don't know, maybe 1 of those places providing work for former convicts? But do visit them 1st if you're into teak furniture, support local hmm?",2016,0.0855,0.8806666666666667,0.03383333333333333,0.0881
15,"[QUOTE=americanhippo;102706908]Hey guys, I'm keen to order some custom made Teak wood furniture from Indonesia Problem is their minimum shipping is 20ft container costing close to 2k SGD or more per shipment. Anybody wants to share? I am looking for just one other party ... I think You can send them your design and they can make anything for you.. in teak. Pm me. Prices of course higher than TaoBao.",2016,0.129,0.8578333333333333,0.013166666666666667,0.10771666666666666
16,Hey! could you share with me the source of your teak furniture? I like to know it. I am also keen in teak furniture.,2016,0.242,0.758,0.0,0.2546
17,tis one I noe last time I used to pass by everyday... but duno they got to custom thou..,2016,0.0,1.0,0.0,0.0
18,Is it Helping Hand ?,2016,0.73,0.27,0.0,0.6597
19,Buy locally? Singapore produces teak furniture? No thanks.,2016,0.18966666666666665,0.6666666666666666,0.14366666666666666,0.0593
20,Would want to help but I'm buying all custom made tho Btw I'm just buying loose furniture. All those built in furniture I'm making in Singapore.,2016,0.075,0.851,0.074,-0.1191
