,Body,Year,Positive,Neutral,Negative,Compound
0,"oh, if you are thinking how good scanteak appears, you might also want to give them a miss. i've been fooled by them for years (although i've never bought anything as their prices to too inflated - i didn't realize how much until the run-up to cny this year). i love the run-up to cny as i am a recycler type of woodworker. i love people throwing away old hardwood furniture which i break down and repurpose. this year i came across a teak bedframe with nice long wood rails down each side. clearly marked with the scanteak logo into the wood at one end of each rail. after bringing them back to the house i started to removed the inner slat rails and low and behold, those bed rails are not solid wood at all but a very heavy dense type of particleboard (not quite mdf but close) that has real teak veneer on all sides/edges and end grain, covering all traces of the false centres. the stuff is garbage. buyer beware.",2021,0.071,0.894,0.035,0.7334
1,"courts stuff is terrible in my opinion. have a look but i got a few mid-range pieces from there that looked decent on the showroom, but turned out to be of low quality. it's the great singapore sale right now. you can find deals at nicer places. try 'v.hive' at plaza singapura which is 1 step up from ikea, more modern style compared to courts, or maybe even scanteak if they are having a sale (though their stuff typically runs 2 steps up from ikea's best line).",2015,0.159,0.792,0.049,0.9274
2,"another place to take a look around is scanteak. again, this is not a top quality furniture store (i would not recommend to buy anything there for the outdoor), neither the cheapest one but it offers some better balance to the ikea's offer. we decided to have our own furniture ca 5y ago and it took us a few good months to roughly complete the task. we are also a price cautious (low-end expats) but we simply wanted to have something that we like and this something should also last a bit longer. with this conditions it is rather difficult to buy all the stuff in a single place so we just checked around in a number of places and picked up what we wanted. if this matters we prefer rather simplistic, zen-like style. the major concentrations of furniture shops are (at least 5y ago): - the furniture mall (off the beach rd) - the sungei kadut district - probably over dozens of shops all together half of them along sungei kadut ave - dempsey area shops (already gone) we were disappointed with the furniture mall. it was very expensive for anything we liked over there. all together this is roughly the list of the places we bought some furniture from: 1) http://unicane.com (abaca sofa and chairs) 2) scanteak (few minor tower chests of drawers, all teakish, each piece below $100 and most of them looking like they were made by a drunk carpenter) 3) a lot of stuff from ikea (beno cd racks, expedit shelves) 4) furniture mall (rather expensive, some custom made teak furniture in a place i could not recommend because we almost sued them for the job done and they almost sued me for alleged defamation). 5) dempsey area, holland village, furniture mall (minor furniture, side tables etc.)",2014,0.066,0.877,0.057,0.6022
3,check with scantech: http://www.scanteak.com.sg/ this set: was for ~$s680. you can buy 2 chairs and a smaller table what should fit into your budget.,2011,0.106,0.894,0.0,0.3612
4,wooden top and metal frame sounds like not really a common combination. for all wooden table you should really have no problems to google something out. first in a raw: http://www.scanteak.com.sg/catalogue%3eoutdoor%3etables,2010,0.124,0.72,0.157,-0.2828
5,for mid-upper range furniture you can do scanteak or pickett & rail.,2010,0.0,1.0,0.0,0.0
6,scanteak is more teak style while i am thinking more of modern minimalistic and/or leather furnishing?,2010,0.0,1.0,0.0,0.0
7,"actually, scanteak is scandanavian design but using teak instead of birch or oak as they normally do. leather furnishings? novena usually carries a reasonable selection of italian leather furnishings.",2010,0.0,1.0,0.0,0.0
8,"try the scanteak, i think that's the name of the store",2009,0.0,1.0,0.0,0.0
9,haha completely forgot that there was this thread. i'm still using my sitoca desk but always looking out for a new desk. i got to scanteak for a quote on a piece of pinewood 180cm x75cm at $700. thought i could maybe get the top there and legs from the galant. but damn solid wood is expensive.,2013,0.106,0.833,0.062,0.1406
