,Body,Year,Positive,Neutral,Negative,Compound
0,star living,2021,0.0,1.0,0.0,0.0
1,"i got my bed, dining table and chairs from star living. quite affordable. most importantly you both agree on a theme then work from there easier if not then the ikea package not so bad idea too.",2020,0.275,0.725,0.0,0.8943
2,"well, check out star living- decent pricing- should be around 1k - 1.5k.. or buy ikea ones and change it to leather",2020,0.095,0.905,0.0,0.2732
3,star living,2020,0.0,1.0,0.0,0.0
4,you can try star living,2020,0.0,1.0,0.0,0.0
5,"my parents got excellent wedding gifts. all these are almost 40 years old: 1) takahi slowcooker. it only has three settings - off, high, auto. 2) zojirushi boiler with only boil and warm settings. i'm not certain how healthy it is to use such an old boiler but we're not dead yet so... 3) le creuset pot that looks good as new. we baby it though. various scanteak furniture that are 20+ years old. still solid despite our v rough treatment (e.g. water stains, scratches). surprisingly, a star living junior wardrobe made of shitty material has lasted us almost 30 years. it's refusal to break down = uncle still using a kiddy pastel blue wardrobe. we stack 10kg luggages on the thing all the time and it's still perfectly fine? i hate it so much.",2020,0.161,0.755,0.084,0.9006
6,"fans can try malaysia, buy alr ask contractor install. furniture are mostly taobao+ikea sofa star living is fine. just get soemthign you like ? electronics we went with those under hdb electrical stores. tend to be cheaper than best denki/courts and stuffs",2019,0.183,0.817,0.0,0.8176
7,"for furniture we got all under one roof at star living (beds,sofa,dining table). as for major electronics we got it from gain city ang mo kio main branch coz it has all the connections needed. (tv,kitchen stove, air vent,oven and 3 aircons)",2019,0.078,0.922,0.0,0.5267
8,comfort furniture and star living (the tampines star living is the biggest one),2018,0.172,0.828,0.0,0.3612
9,"if you live near the buona vista area, theres this shop that sells lots of cool and nice decorations at star vista. its called home&amp;living (not sure abt this one) and is a few shops down the j-mart",2018,0.179,0.821,0.0,0.7506
10,maybe you can research on which shop you wanna buy them from and see their credit card promotion then get the credit card. the other time we went star living and take advantage on the 0% instalments and manage to balance it out. within 6 months everything been paid for!,2018,0.14,0.86,0.0,0.7574
11,picket &amp; rail novena furniture star living castlery,2020,0.0,1.0,0.0,0.0
12,"yes, most room rentals are furnished with essentials for tenants convenience. bed, small desk, wardrobe etc. most landlords wouldnt go through the hassle of cabling lan from router to the spare room. hence, its the norm to provide just wifi. most of us rent out spare rooms, so you may be living with the landlord. get to know them &amp; their rules before committing. i used to work in one-north area too :) id recommend staying in the west. if you want to save more, find a house that isnt near malls, or a little distance away from mrt(bus transfer). you can go to food centres &amp; supermarkets in residential areas. and commute a few stops to malls for shopping/movies on days off. the places i recommend below have malls near the mrt. -buona vista (mall: star vista/no cinema) -jurong east (3 malls. busy area) -bukit batok (west mall) -boon lay (mall: jurong point) you actually earn more than me after tax. im a junior office worker. you could get by fine, with 650-800sgd rental.",2019,0.102,0.889,0.009,0.9287
13,"thanks for the reply jr8, but personally i had some pretty bad experience buying from ikea..bubbles forming on the surface, shaky cabinet, veneer splitting..therefore would like to buy solid wood furniture this time and from another source. then again, i'm still months away from moving in to my new home. will be visiting the big box stores star living, courts, etc. and hopefully find what i want! i'm just wondering whether there are any ""lesser known"" stores but selling beautiful solid wood furniture thus for this post.. thanks again jr8, appreciate your help!",2016,0.293,0.648,0.059,0.98
14,star living at labrador park has lounge chairs like you mentioned. not sure about the pricing. http://www.starliving.com.sg/contact-us ... ranch.html,2014,0.116,0.792,0.091,0.1376
15,so which furniture shop is endorsed here? star living kym? i like their new range of scandi furniture,2016,0.245,0.755,0.0,0.594
16,"i got 4 chrairs and a nested table set from star living, dining table(using for work desk) and sofa from castlery...",2016,0.0,1.0,0.0,0.0
