date,username,text
2017-03-03 07:36:59,michelleyuan,💛
2018-10-11 01:59:34,mdflmvmt,"Hi, come meditate with us! 🧘🏻‍♀️.."
2017-05-01 17:58:34,shuchsmooch,When are u going @theprojectweekend !!!!! Can I tag along??????? I wanna check out 😍
2017-04-30 18:15:10,theprojectweekend,"@shuchsmooch I'm going down again next week! I've got my eye on a couple of chairs and a side table. Can customise the pieces (type of wood, colour, size)! Check it out."
2017-04-30 17:24:30,shuchsmooch,Omg I love this !!!!!
2017-06-08 19:39:28,pickjunction,#greyandsanders #pickjunction #furniture #design #home #interiors #interiordesign #decor #sgdesign #singapore #sgig #igsg #instasg #homedecor #home
2019-06-21 13:47:59,sellingsingapore65,The best of the best👍
2017-07-01 02:19:54,sgssc,😃
2018-08-20 16:57:08,funkychef,"Hi, how much is this for a 2m table?"
2017-10-22 13:36:54,houseofgentlemen,👍
2018-11-22 16:37:19,greyandsanders,Hi @mynameisiska! Thanks for your interest (: this table is indeed an Oak piece. We do have some Oak slabs on display in our studio. Feel free to drop by to take a look!
2018-11-22 16:35:07,mynameisiska,Hi there! What wood is this? Oak I reckon? Any of such slabs in stock? 😊
2018-01-23 21:45:04,bellsandbirds,Looks like the one at Noshery too!
2018-01-18 21:57:51,jargarboy,Thank you for for the lovely work !! We love the end product too !!
2018-01-18 17:30:11,lookbox_living,Stunning wall!
2018-01-17 22:29:36,blafink,Wow! That wall!! 😍
2018-01-17 20:17:43,chelsiewatts,@jrwatts123 wallpaper 😍
2018-01-17 19:24:05,fortyredbangles,Love this wall xo
2019-10-20 05:13:07,tagarashoes,@delyanakumaat
2019-06-19 08:50:06,hellohellocind,@ho.senkee
2018-03-26 11:00:19,ameliebobeen,Awesome! :)
2018-04-05 22:01:15,calvarycarpentry,Wow!
2018-03-26 02:42:12,renotalk,2018's home decor inspirations for your home is out! Let us know if you have any renovation plans in mind 😊
2018-03-26 00:27:52,mosaicosg,2018 Huat ah! Let us know if you're looking for really beautiful tiles 😊
2019-06-15 10:45:22,zhaunific,"Hi, I’d like to know where are the black walnut wood slabs sourced from?"
2018-04-17 03:32:06,speckledspace,👌👌
2018-04-08 21:16:53,thedottyness,Can’t wait to see my table! Thanks for being there yesterday - nearly gave up looking for a table.
2021-03-11 16:17:15,serena_seah,Hi may i know what’s the length of the table?
2019-03-14 12:44:06,dewykitty,Hi how much are the legs? We would like to add it to our order.
2018-07-10 09:32:12,farzrahman,Hi may i know how much is the dining table?
2020-05-13 23:18:34,food2goodbypriti,How true and so well said 🤗💕
2018-05-06 16:24:21,shotwithmando,Niceeee! Greetings from other side of the world 😊
2018-05-06 16:14:58,sarahlivingsg,#Scandinavian #scandinaviandesign #minimalist #minimalistdeco #mujiinspired #ilovesg #singaporebto #singaporeflats #organized #neat #clean #livingroom #visionblinds #curtain
2019-10-16 18:30:08,i_heart_serenity,The price including what size ?
2018-09-03 00:24:12,wwkz,Is the table still available?
2018-06-09 18:51:54,infinity28tn,Do u have a bigger piece?
2018-06-09 18:50:55,infinity28tn,What is the dimension? Price tag
2018-07-04 00:44:09,welovefunfit,😊✌!!
2018-06-29 00:52:52,pacificswind,☺️😄
2018-06-29 00:52:26,alanalang,like
2018-06-27 17:56:46,pkexinnn,🙆
2018-06-27 16:47:59,daisyliin,😄😄
2018-06-22 22:29:14,speckledspace,#homendecor #decorhome #decorhomestyle #homedecorsingapore #scandanaviandesign #scandanaviadeco #singaporedecor #singaporedecorshop #decorsingapore #singaporedecordesign #homedecoideas #furnituresg #furnitureideas #bto #btosg #landedhome #landedhouse #homedecosg #homedecortips #homedecorsg #nordichome #nordichomedecor #furnituresg #speckledspace #greyandsanders #walnutslabtable
2018-07-21 17:51:41,speckledspace,#homendecor #decorhome #decorhomestyle #homedecorsingapore #scandanaviandesign #scandanaviadeco #singaporedecor #singaporedecorshop #decorsingapore #singaporedecordesign #homedecoideas #furnituresg #furnitureideas #bto #btosg #landedhome #landedhouse #homedecosg #homedecortips #homedecorsg #posterdesign #nordichome #nordichomedecor #furnituresg #ootdsg #lookbooksg #sgootd #speckledspace #greyandsanders #woodslabstable
2018-07-28 15:17:55,organic_by_glitterfriends,🤣😂 happy weekend!!!💃
2018-07-27 20:48:38,yuimui88,(♡˙︶˙♡)
2018-07-27 19:50:36,secretclovers,💚!!
2018-07-27 18:58:53,speckledspace,#homendecor #decorhome #decorhomestyle #homedecorsingapore #scandanaviandesign #scandanaviadeco #singaporedecor #singaporedecorshop #decorsingapore #singaporedecordesign #homedecoideas #furnituresg #furnitureideas #bto #btosg #landedhome #landedhouse #homedecosg #homedecortips #homedecorsg #posterdesign #nordichome #nordichomedecor #furnituresg #sgootd #speckledspace #greyandsanders #dontsaybojio #hustle
2018-08-01 12:44:26,cerlynbay,How much is the bench seat?
2020-04-27 21:26:40,homes.fuck,@rosheila
2018-09-12 20:12:28,kokeanfurniture,💕👌
2018-11-16 05:10:46,beaninsidecentral,Coffee is the question. Always is the answer.
2018-10-03 08:56:42,sgmrshopperstudio,☕️ is life! ♥️
2018-10-14 04:24:24,district_leathers,Amazing leather!
2018-10-05 23:56:29,tirecaresingapore,Nice photo! Let us know if you know anyone who wants to make their car or bike better 🚗🚲😊
2018-10-05 19:44:24,joeykimura,How much is this coffee table?
2018-10-05 19:26:50,d5buildinggroup,👍👍
2019-03-08 12:12:02,thebleupomsky,Hi how much is is sofa pls?
2018-10-07 16:50:43,my_cakelicious,😊🍰🍰🍰
2018-10-07 14:04:05,homeinteriorsdaily,"Really truly fab, love everything😍 Do you want to be featured next? Get in touch with us to get more info💫"
2018-10-15 13:29:45,colinngwk,Hi is this over? Did not see any deals on last Saturday
2018-10-11 19:47:36,iamonlittlereddot,But i just bought last sunday. Got price matching?
2018-11-23 18:42:55,pinkmango,May I know the price for 3 seater? Are all the covers detachable? @greyandsanders
2018-10-26 03:51:44,civildiligence,I love this post.....
2018-10-20 09:40:37,jesusdobbins,You guys are the best! Thank you for everything!!😍😍
2018-10-25 01:42:01,liveedgetimberco,Awsome! We love it! 🍁!!!!
2018-10-23 16:10:08,monicebakes,😊🎂🍰
2018-10-23 01:03:38,bestinteriordecorating,Super perfectly fab🌻💃🏻 Interested in getting featured on our page next? Connect with us for more info!!
2018-10-24 12:43:13,amyyoungdesigns,🙌💕!!
2018-10-26 17:26:15,helmandhome,Awesome!👌🙌
2018-10-29 03:33:46,makerandwolves,Sweet.....
2018-10-27 10:43:31,darlinginteriors,"Soo absolutely perfect, great page😍🌷 Interested in being featured on our page next? Message us for more!!"
2019-01-25 21:49:28,khairrulaziz,😍😍😍
2018-11-12 22:59:00,gonatgoh,Thanks for the great after sales service! Love my dining table even more now! ☺️
2018-12-11 07:49:00,dewykitty,I spot my gorgeous table! So so glad we got it yesterday. Thanks samantha!
2018-11-28 07:58:58,balboadesigngroup,Nice! 😍
2019-11-22 09:34:58,ankita.sethia,"Hello, could you tell me the dimensions of this table please?"
2018-12-17 01:25:30,ezreal_avakin,great post @greyandsanders do you have a blog?
2018-12-14 12:06:19,justgrowmyhair,Outstanding!😊🙌
2018-12-15 12:00:29,penandnapkinorg,Niceeeeee!
2018-12-15 11:33:13,artsandalyecom,Gt
2018-12-15 11:29:57,jadekatyhome,great style 😎
2018-12-26 02:47:41,bukonero,Like this posting.
2018-12-26 21:52:10,ourpinkproject,👌👌
2019-01-06 15:25:31,interiors4inspo,"Yes, perfect & lovely!😻💘 Wanna be featured in our gallery? DM me to get more info!"
2019-01-07 18:59:42,greyandsanders,#hometips #greyandsanders #leathersofa #leather #sofa #know #qualityfurniture #furniture #fullgrainleather #topgrainleather #homeinterior
2019-01-09 13:12:08,greyandsanders,#coffeetable #livingroom #art #uniquehomes #blackwalnut #wood #oneofakind #greyandsanders
2019-01-14 21:07:35,woodplay.home,Nice
2019-01-21 07:07:21,smokingcabinsg,"greyandsanders, that looks great!"
2019-01-18 17:04:53,greyandsanders,#greyandsanders #unique #carpet #leatherwork #livingroomdecor #homeanddecorsg #singapore #tanboonliatbuilding #style
2019-01-21 19:13:26,greyandsanders,#greyandsanders #homedecor #oak #dining #homedesign #singapore #furnituredesign #interiordesign #tanboonliatbuilding #design
2019-02-07 06:02:22,moduscg,👏👏👏👏!!!
2019-01-29 13:30:49,greyandsanders,#greyandsanders #homedecor #walnut #bench #dining #living #coffeetable #homedesign #singapore #furnituredesign #interiordesign #tanboonliatbuilding #design #solidwoodfurniture
2019-01-29 13:31:01,greyandsanders,#greyandsanders #homedecor #walnut #bench #dining #living #coffeetable #homedesign #singapore #furnituredesign #interiordesign #tanboonliatbuilding #design #solidwoodfurniture
