date,username,text
2017-11-26 13:23:13,chocabloc_sg,Thank you for the lovely shot! :smiling_face:
2017-11-25 17:04:27,hobartkho,Pretty cool!
2017-11-25 15:43:14,alainlicious,".
.
.
.
.
.
.
#foodspotting #vscofood #foodvsco #buzzfeast #foodstyling #foodgasm #nomnom #eatingfortheinsta #foursquare #foursquarefind #home #starliving #starlivingsg #teatime #weekend #danielwellington #danielwellingtonwatches #dwmoments #chocabloc #chocablocsg"
2017-12-08 16:32:11,mshannahchia,Santa belly mousse cake looks so cute
2017-12-08 16:19:22,inordinatelyjing,@francislyn
2017-12-08 16:17:18,alainlicious,".
.
.
.
.
.
.
#foodspotting #vscofood #foodvsco #buzzfeast #buzzfeedfood #foodgasm #nomnom #eatingfortheinsta #starlivingsg #foursquare #foursquarefind #christmas #choux #pastry #desserts #ollella #ollellasg #ollellasingapore"
2017-12-10 00:02:32,nkikichua,I just realised its pandan chiffon cakes :woman_facepalming_light_skin_tone:
2017-12-09 19:23:58,mshannahchia,Nice flatlay!!!
2017-12-09 18:02:35,jacelynphang,Can host me too? Hahaha #buyaolian :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2017-12-09 16:56:55,alainlicious,".
.
.
.
.
.
.
#foodspotting #vscofood #foodvsco #buzzfeast #buzzfeedfood #foodgasm #nomnom #eatingfortheinsta #flatlay #flatlaystyle #starlivingsg #foursquare #foursquarefind #christmas #chiffoncake #desserts #andazsingapore"
2017-12-14 12:02:03,foodicted_suro,"You have such a wonderful page. I have a food page as well, you may like it, do give it a look. Means a lot. Keep posting :)"
2017-12-11 17:43:35,xstarlightstarbrightx,I need those right now!
2017-12-11 17:22:32,tangyally,I saw this but didnt get it. :face_with_tears_of_joy: Is the bread nice?  @alainlicious
2017-12-11 16:21:19,birdseedfoodco,:sparkling_heart:
2017-12-11 13:45:08,camp_kilo,:smiling_face_with_heart-eyes:
2017-12-11 13:25:51,veeforvictoria,another place to go next time~ :smiling_cat_with_heart-eyes:
2017-12-11 13:00:34,foodinsing,@emily.eatingthyme
2017-12-11 12:36:19,carmenthequeen,So cute
2017-12-11 12:23:19,halisticgetsfit,Those are seriously adorable. I feel like I need cat donuts in my life right now!
2017-12-11 12:06:22,lesterblur,Omg so cuteee
2017-12-11 12:05:03,alainlicious,".
.
.
.
.
.
.
#foodspotting #vscofood #foodvsco #starlivingsg #buzzfeedfood #crateandbarrelsg #luzerne #eatingfortheinsta #jurongpoint #foursquare #foursquarefind #shokutsuten #shokutsutenjapanesefoodstreet #gokokusg #gokokujapanesebakery"
2017-12-26 09:06:39,the_jelena,Oh heavennnn!!!!
2017-12-25 19:01:42,cindyzanetsa,Merry Christmas :snowman:
2017-12-25 18:00:03,rachelxie,This is courtesy of my client lol
2017-12-25 15:05:10,alainlicious,".
.
.
.
.
.
.
#starlivingsg #vscofood #foodvsco #christmas #xmas #eatingfortheinsta #foursquare #foursquarefind #chocolate #bonbons #discoverthedark #thedarkgallerysg"
2017-12-27 10:36:01,kilokitchenbali,Such a great photo! :smiling_face:
2017-12-26 21:04:59,sixthsensepr,Thank you @alainlicious and Reina for opening up your lovely home and welcoming us :smiling_face_with_heart-eyes: happy new year in advance !
2017-12-26 18:05:01,sarnies.sg,Hope you enjoyed our brownies Alain!
2017-12-26 17:55:40,alainlicious,".
.
.
.
.
.
.
#starlivingsg #vscofood #foodvsco #foursquare #foursquarefind #fairpricesg #tescosg #tescofoodhacks #haagendazssg #icecream #sarniescafe #brownies #amazinggraze #granola #christmas"
2018-08-26 00:26:36,basile_manent,:smiling_face_with_heart-eyes::smiling_face_with_smiling_eyes:
2018-04-23 15:28:57,wecamz,the photo is really GREAT!
2018-04-23 15:13:01,rubyaworindesmith,Sending positive happy vibessssssss :sunflower::watermelon:
2018-06-03 06:15:54,5sensesgroup,Have you tried our food before? :grinning_face_with_smiling_eyes:
2018-06-26 02:08:15,zoncalighting,Pretty cool!...
2018-06-16 11:09:50,yaa.miniii,Congratulations bhaiya :)
2018-07-13 00:04:38,shuaty86,黑社会 :smiling_face_with_sunglasses:
2018-08-23 23:13:27,benedicthhk,Jiayous! Do follow me for exciting stuff going in 2018! :smiling_face_with_smiling_eyes:
2018-11-19 17:19:53,littlepawfamily,YOU CUTIESSSSS:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: SADIE WANTSSSS A PLAYDATEEE
2018-11-19 01:01:35,gsd_snickers,I'm a good boy
2020-04-28 18:03:13,auntygina_1971,So what about the delivery time and cost?
2020-05-15 17:53:34,hidynwa91,"Hi, will my order be delivered on 20 May? Items was bought before CB period at IMM, been trying to call the number at the receipt, but no response."
2020-05-23 03:14:32,nixbeann,When is Phase 2?
2020-06-22 17:25:16,syasya101088,Done @starlivingsg :crossed_fingers::growing_heart:
2020-06-05 22:14:15,tiffkel5777,Could you add more wardrobe for your online stores? Thank you (:
2020-06-05 21:53:26,ahjuneee,@eric_oei
2020-07-13 12:56:35,aarti.gargagarwal.7,Who wins @starlivingsg
2020-06-28 15:54:30,rousabrina,Posted @starlivingsg
2020-06-19 17:54:45,tiffkel5777,May I ask any minimum spend required to utilize the $100 voucher? What are the T&C? Thank you (:
2020-07-08 18:03:58,atome.sg,".
.
.
.
.
.
.
.
#AtomeSG #AvailableToMe #AccessToMore #ShopwithAtome #Atome 
#buynowpaylater #paylater #sgshopping #exploresingapore #shoppingsg #sgsales #sgstyle #sgonlineshop #singaporeinsiders #sgshop #sgfintech #sginstagram #singapore #interestfree #homeinspo #interiordesign #interiorinspiration #homedecor #homedesign #homestyling #homesweethome #starlivingsg"
2021-03-02 19:30:37,frezhman,:fire:
2021-03-02 19:05:33,belindalee5,Do u have bedside table on offer as well?
