date,username,text
2019-05-23 19:01:44,freelaslz,Muito bom seu perfil!! wihardjasg quer potencializar suas redes sociais? Visite nosso perfil e conheça um pouco do nosso trabalho! :smiling_face_with_sunglasses:
2019-06-04 22:28:42,hearty_hearty,price pls
2019-05-25 21:47:44,qushie,Hi how much is this sofa?
2019-05-24 17:13:54,ardy_iphone,Nice la:smiling_face_with_heart-eyes:
2019-05-24 14:49:47,carpentersdesignsg,Wow :red_heart:
2019-05-25 05:43:43,carpentersdesignsg,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-11-26 04:52:58,teacher_jamunna,May I know the cost pls
2019-05-25 17:47:16,alice1082001,:red_heart:
2019-06-18 11:10:17,wihardjasg,@revathy_1986 see this link: https://bit.ly/2M3utOV ⠀
2019-06-13 19:30:22,revathy_1986,Hi... May I know the price ?
2019-05-25 19:06:40,eunicekittytan,Hey! Where do your shop online usually?
2019-05-27 06:35:24,carpentersdesignsg,:thumbs_up::thumbs_up::thumbs_up::thumbs_up:
2019-07-06 18:10:08,asiahyahyay,Pm me the the 3 seaters teak wood
2019-05-28 11:41:50,salharon,How much?
2019-05-28 08:56:39,suesui618,:clapping_hands::clapping_hands::clapping_hands:
2019-05-28 05:38:26,asiahyahyay,Pm me the price pls.
2019-05-28 15:43:27,auskinclinicschadstone,:sparkles:
2019-11-11 17:57:27,wiravinna,Please price?
2020-04-07 01:02:30,beebi.halimah,$?
2019-06-10 07:49:45,wihardjasg,@fahmikus see this link https://bit.ly/2Wlz0jS
2019-06-09 18:24:41,fahmikus,May i know the price of the shoe cabinet pls
2020-03-20 18:51:41,aliasyeni,How much
2019-06-10 23:37:03,hashyyusof,@marcthanmusic
2019-05-29 21:41:35,darellron33kend,Okay. That´s awesome! :red_heart:
2019-05-29 16:06:58,lemonexadvancehq,Semoga murah rezeki:cherry_blossom:
2020-04-09 14:53:11,beebi.halimah,$?
2019-06-18 11:09:35,wihardjasg,@soleilfatcat drop by our showrooms to see more!
2019-06-14 10:29:10,soleilfatcat,@bibilcutlet
2019-05-31 19:53:57,wihardjasg,"@mommi_su if you can draw it, we can make it. :)"
2019-05-31 16:25:09,lightsnshowers,:thumbs_up::thumbs_up::thumbs_up:
2019-05-31 04:44:12,suriah_1.0,Don't have bookshelf w door?
2019-06-02 07:44:46,lightsnshowers,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-11-11 17:56:44,wiravinna,Please price?
2019-07-06 12:34:05,nora_norlela,Is this coffeetable suitable for sitting down with cushions on the floor instead of sofa? How much?
2019-06-03 13:01:12,benettimoss,This is beautiful..!
2019-06-07 17:40:54,trenwood_handmade,Lovely
2019-06-04 11:34:28,lightsnshowers,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-06-06 01:44:14,theiaobject,This is awesome! :thumbs_up::sparkles:
2019-06-05 18:16:41,suesui618,:clapping_hands::clapping_hands::clapping_hands:
2019-06-08 05:14:06,lightsnshowers,superb :thumbs_up:
2019-06-07 19:20:25,pasirian26,:smiling_face_with_heart-eyes::red_heart:
2019-06-10 02:21:59,lightsnshowers,superb :thumbs_up:
2019-06-09 11:57:01,carpentersdesignsg,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-06-10 09:19:41,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-06-09 22:23:54,keziahrahim,Nice!
2019-06-09 20:55:49,lightsnshowers,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-06-11 01:29:20,lyana110274,Hi we drop by today but both shops at Kaki Bukit n Genting Lane close..
2019-06-10 18:04:43,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-06-27 10:36:53,wihardjasg,@arlyn_aelena please visit our website at wja.sg for more details
2019-06-24 17:37:32,arlyn_aelena,Hi. Hw much is the lshape sofa
2019-06-11 17:48:50,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-06-11 16:18:35,pekotadesign,:slightly_smiling_face:
2020-03-07 19:23:30,iamkamrulhassan,Hi this this sets still available? N how much?
2019-07-17 09:46:03,ritasamad,Hi can you PM price for this trunk pls?
2019-06-29 11:16:02,maya_mompreneur,Hi i already wsaap but no response
2019-06-27 10:39:23,wihardjasg,@vidth_ya @maya_mompreneur yes we still have this. visit our website for more details: wja.sg
2019-06-19 13:16:01,vidth_ya,Hi do u still have them??...how much is it??
2019-06-18 15:55:32,maya_mompreneur,Pm price plz
2019-06-20 23:11:13,nisha_begum,PM price
2019-06-20 15:03:43,rosmi_mawar,"I am wihardja members, can you pm me the price, thank you."
2019-06-19 17:36:13,northbound72,pls advice price on partition
2019-06-24 16:55:56,suesui618,:clapping_hands::clapping_hands::clapping_hands:
2019-06-24 12:40:34,revathy_1986,May I know the price?
2019-06-27 10:36:30,wihardjasg,@kyuenfoziah please visit our website wja.sg for more details
2019-06-27 10:36:13,wihardjasg,"@loafing.eating its in teak wood, please see wja.sg for more details"
2019-06-25 19:57:25,suesui618,:clapping_hands::clapping_hands::clapping_hands:
2019-06-25 17:14:11,kyuenfoziah,How much pls
2019-06-25 16:08:58,loafing.eating,What is the wood and what is the price please?
2019-06-27 11:43:00,jksgoh,How much is this ?
2019-06-27 10:35:48,wihardjasg,"@nisha_begum hello, please visit our website at wja.sg"
2019-06-27 00:38:54,nisha_begum,Price
2019-07-03 06:28:36,rosmi_mawar,It is beautiful piece....
2019-10-29 09:07:37,maimunahwahid45,How much  for this
2019-07-06 01:20:22,rosmi_mawar,Pm me the price of the furniture thank you.
2019-07-10 10:38:29,apj_1207,Whats the price of the white sideboard and is it available at your Sungei Kadut branch for viewing?
2019-07-10 01:04:31,waffleliciousjy,Yes pls!!
2019-07-09 20:28:04,asiahyahyay,Pm me the price for teak wood day bed
2019-07-09 19:00:30,rosmi_mawar,"Most of my furniture purchased from wihardjsg and its color still stays and shines, the kaki bukit branch is still open?"
2019-07-25 18:07:15,acvanity,How much?
2019-07-11 14:10:01,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-05-21 09:45:52,sulastrierey,Is this foldable??
2020-03-14 09:01:52,estujati1,Good bussiness right now at Singapore with the recent issue #coronavirus ?
2020-03-12 17:35:29,estujati1,:thumbs_up:
2019-08-14 19:18:46,yogasgowda,How much is this ?
2019-07-12 20:41:12,suesui618,:clapping_hands::clapping_hands::clapping_hands:
2019-07-13 12:37:49,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-04-28 23:54:37,beebi.halimah,$?
2020-04-09 14:52:04,beebi.halimah,Price please
2019-07-16 12:01:16,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-14 12:24:02,mythi_myth,Price v
2020-06-04 09:51:31,toninebreja,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-15 22:46:21,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-15 19:09:18,seema.goyal75,Price and dimension pls..
2020-04-28 23:54:04,beebi.halimah,$? Side cabinet
2019-07-23 08:23:38,wihardjasg,"@rosmi_mawar the Macpherson showroom address is 1 Genting Lane, #04-02"
2019-07-21 19:15:38,rosmi_mawar,"Thank you replied me, but please inform me you new branch address at machperson and genting lane thank you."
2019-07-20 13:26:36,wihardjasg,@rosmi_mawar unfortunately Kaki Bukit is no more. You can visit us at Macpherson instead.
2019-07-17 12:01:22,suesui618,:clapping_hands::clapping_hands::clapping_hands:
2019-07-17 10:26:34,rosmi_mawar,"So yr show room at kaki bukit is still operation or already close?  Please pm me thank you, cause I used to buy yr  furniture from kaki bukit branch, cause just near my home."
2019-07-18 22:19:43,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-02-18 09:22:18,athadennywauran,@dennywauran another option..
2020-02-18 15:13:50,slumbersome_nocturnal,The tv tho-
2019-07-20 22:11:39,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-31 14:25:11,conceptionstudioid,Beautiful sofas!
2019-07-23 08:22:09,wihardjasg,@seema.goyal75 both the macpherson and sungei kadut showrooms have sofas. this photo was taken at the macpherson showroom.
2019-07-22 15:12:51,seema.goyal75,Which of the showroom has this sofa collection ??
2019-07-27 15:39:04,sygnur,How much is the table?:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-23 18:02:38,kellinachin,So cute! Is that a Cony Speaker?
2019-07-25 16:47:33,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-01-18 10:25:29,princess_enang,How much is this round coffee table & its size (diameter x heignt)?
2019-08-16 00:41:49,eric_genzken,Love the edit !!!
2019-07-27 18:29:01,jmilovetheworld,Wow.. What is the price range?
2019-07-27 15:38:22,sygnur,How much is the sofa?:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-27 10:42:27,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-02-18 09:22:54,athadennywauran,@dennywauran wanna check this one out?
2019-07-30 20:29:53,t2leet2,@leelilyious
2019-08-01 17:41:58,qarteeka_eu,Beautiful:red_heart:
2019-08-05 10:39:55,unsai_1965,Nice tea cup and saucer do you sell this
2019-08-14 19:15:51,yogasgowda,How much is this ?
2019-08-10 20:41:41,sanwi29,"Borong bu, jgn cuma di liatin aja :grinning_face_with_smiling_eyes:"
2019-08-09 20:37:36,narinta298,Baguuss yaa :smiling_face_with_heart-eyes:
2019-08-09 19:53:41,dnartyasari,Lucu lucuuu
2019-10-23 09:03:54,wihardjasg,"Yes we can, do drop by our showrooms and have a chat with our colleagues on site for more custom options."
